CodigoLicitacion;Correlativo;Categoria;CodigoProducto;NombreProducto;DescripcionItem;UnidadMedida;Cantidad;RutGanador;NombreGanador;MontoUnitarioGanador;CantidadAdjudicada
1057922-24-R125;1;Equipamiento para laboratorios / Instrumentos de medida y experimentación / Instrumentos de medición de peso;41111501;Balanzas electrónicas de carga superior;Balanzas con tallímetro;Unidad;1.0;;;0.0;0.0
1057922-24-R125;2;Equipamiento y suministros médicos / Artículos médicos para urgencias y atención en terreno / Productos de resucitación de emergencia;42172101;Desfibriladores externos automatizados (AED) o paletas rígidas;Desfibrilador Automático DEA;Unidad;2.0;79.895.670-1;PV EQUIP  SA;1760000.0;2.0
1057922-24-R125;3;Equipamiento y suministros médicos / Productos quirúrgicos / Equipo quirúrgico, accesorios y productos relacionados;42295104;Equipo electro quirúrgico o electro cauterio o accesorios o productos relacionados;Electrobisturí baja potencia;Unidad;2.0;;;0.0;0.0
1057922-24-R125;4;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Unidades de electrocardiografía (ECG) y productos relacionados;42181701;Unidades de electrocardiografía (ECG);Electrocardiógrafo;Unidad;3.0;;;0.0;0.0
1057922-24-R125;5;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Productos de comprobación y tratamiento de las funciones pulmonares;42271602;Espirómetros, accesorios o suministros;Espirómetro portátil sobremesa;Unidad;2.0;;;0.0;0.0
1057922-24-R125;6;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Lámparas para examen médico;42182602;Lámparas o luces instaladas de examen médico;Lámpara de examen;Unidad;7.0;;;0.0;0.0
1057922-24-R125;7;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Lámparas para examen médico;42182602;Lámparas o luces instaladas de examen médico;Lámpara de procedimientos;Unidad;1.0;;;0.0;0.0
1057922-24-R125;8;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Sistemas de construcción de instalaciones médicas;42191608;Monitores de salida o controles de enfermería;Monitores de Signos Vitales;Unidad;1.0;;;0.0;0.0
1057922-24-R125;9;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Espéculos y accesorios para auscultación médica;42182005;Oftalmoscopios o otoscopios o juegos de scopios;Oto oftalmoscopio mural;Unidad;17.0;;;0.0;0.0
1057922-24-R125;10;Equipos, suministros y accesorios deportivos y recreativos / Equipos para entrenamiento físico / Equipo de entrenamiento de pesas y resistencia;49201610;Tubos de resistencia;Pimómetro digital;Unidad;1.0;;;0.0;0.0
1057922-24-R125;11;Equipamiento para laboratorios / Equipos e insumos para laboratorio / Equipo y suministros para vertido, destilación, evaporación y extracción;41104810;Aparatos de fraccionamiento;Reenvasadora para medicamentos;Unidad;1.0;;;0.0;0.0
1057922-24-R125;12;Equipamiento para laboratorios / Equipos e insumos para laboratorio / Equipo de enfriamiento para laboratorio;41103011;Refrigeradores o congeladores de uso general;Refrigeradores clínicos;Unidad;1.0;;;0.0;0.0
1057922-24-R125;13;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Ventiladores y accesorios de presión mecánica positiva;42272209;Circuito de respiración o ventilador;Ventilador de transporte;Unidad;1.0;;;0.0;0.0
1057922-24-R125;14;Equipamiento y suministros médicos / Productos para imágenes y de medicina nuclear / Artículos para imágenes de ultrasonido, doppler y eco;42201712;Unidades de ecografía o eco pulso o doppler o ultrasonido médico para uso diagnóstico general;Ecógrafo;Unidad;1.0;;;0.0;0.0
