CodigoLicitacion;Correlativo;Categoria;CodigoProducto;NombreProducto;DescripcionItem;UnidadMedida;Cantidad;RutGanador;NombreGanador;MontoUnitarioGanador;CantidadAdjudicada
1057532-103-LE25;1;Equipamiento y suministros médicos / Ayuda para personas con discapacidad / Artículos de ayuda para desplazamiento de discapacitados;42211504;Ayudas para estar de pie;Bastón Codera Fija talla M (Geriátrico);Unidad;326.0;59.106.780-k;GLOBAL HEALTHCARE CHILE L P OFICINA DE REPRESENTACION EN CHILE;5882.0;326.0
1057532-103-LE25;2;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Artículos para transporte de paciente;42192210;Sillas de ruedas;Sillas de Ruedas estándar Rurales;Unidad;171.0;59.106.780-k;GLOBAL HEALTHCARE CHILE L P OFICINA DE REPRESENTACION EN CHILE;135800.0;171.0
1057922-44-R125;1;Equipamiento para manejo y estiba de materiales / Refrigeración industrial / Refrigeradores industriales;24131501;Refrigerador y congelador combinado;Congelador Doméstico;Unidad;1.0;;;0.0;0.0
1057922-44-R125;2;Equipamiento para manejo y estiba de materiales / Refrigeración industrial / Refrigeradores industriales;24131501;Refrigerador y congelador combinado;Freezer;Unidad;1.0;;;0.0;0.0
1057922-44-R125;3;Equipamiento para manejo y estiba de materiales / Refrigeración industrial / Refrigeradores industriales;24131501;Refrigerador y congelador combinado;Frigobar;Unidad;2.0;;;0.0;0.0
1057922-44-R125;4;Muebles, accesorios, electrodomésticos y productos electrónicos / Aparatos electrodomésticos / Electrodomésticos para cocina;52141523;Hervidores y teteras;Hervidor Eléctrico 2L;Unidad;3.0;;;0.0;0.0
1057922-44-R125;5;Muebles, accesorios, electrodomésticos y productos electrónicos / Aparatos electrodomésticos / Electrodomésticos para cocina;52141519;Hornos de convección domésticos;Horno Eléctrico;Unidad;2.0;;;0.0;0.0
1057922-44-R125;6;Equipos y suministros de limpieza / Equipo industrial de lavandería y limpieza en seco / Equipos de lavado y secado;47111502;Lavadoras tipo lavandería;Lavadora;Unidad;1.0;;;0.0;0.0
1057922-44-R125;7;Muebles, accesorios, electrodomésticos y productos electrónicos / Aparatos electrodomésticos / Electrodomésticos para cocina;52141502;Hornos microondas domésticos;Microondas;Unidad;1.0;77.597.711-6;SOCIEDAD COMERCIAL ROYAL SPA;150199.0;1.0
1057922-44-R125;8;Equipamiento para manejo y estiba de materiales / Refrigeración industrial / Refrigeradores industriales;24131501;Refrigerador y congelador combinado;Refrigerador;Unidad;1.0;;;0.0;0.0
1057922-44-R125;9;Equipamiento para manejo y estiba de materiales / Refrigeración industrial / Refrigeradores industriales;24131501;Refrigerador y congelador combinado;Refrigerador 120 Lts;Unidad;1.0;;;0.0;0.0
1057922-44-R125;10;Equipamiento para manejo y estiba de materiales / Refrigeración industrial / Refrigeradores industriales;24131501;Refrigerador y congelador combinado;Refrigerador Doméstico;Unidad;1.0;;;0.0;0.0
1057922-44-R125;11;Equipamiento para manejo y estiba de materiales / Refrigeración industrial / Refrigeradores industriales;24131501;Refrigerador y congelador combinado;Refrigerador mediano;Unidad;3.0;;;0.0;0.0
1057922-44-R125;12;Muebles, accesorios, electrodomésticos y productos electrónicos / Equipos y accesorios audiovisuales / Equipos audiovisuales y de electrónica menor;52161505;Televisores convencionales, de plasma y LCD;"Televisor 43""";Unidad;6.0;;;0.0;0.0
1057922-44-R125;13;Muebles, accesorios, electrodomésticos y productos electrónicos / Equipos y accesorios audiovisuales / Equipos audiovisuales y de electrónica menor;52161505;Televisores convencionales, de plasma y LCD;"Televisor 50""";Unidad;10.0;;;0.0;0.0
1057922-44-R125;14;Muebles, accesorios, electrodomésticos y productos electrónicos / Aparatos electrodomésticos / Electrodomésticos para cocina;52141523;Hervidores y teteras;Termohervidor;Unidad;3.0;;;0.0;0.0
1057922-44-R125;15;Muebles, accesorios, electrodomésticos y productos electrónicos / Aparatos electrodomésticos / Electrodomésticos para cocina;52141523;Hervidores y teteras;Termohervidor básico;Unidad;1.0;77.597.711-6;SOCIEDAD COMERCIAL ROYAL SPA;75094.0;1.0
1057532-67-LE25;1;Ropa, maletas y productos de aseo personal / Ropa / Uniformes;53102702;Uniformes varios;Set Vestuario Clínico;Unidad;1.0;;;0.0;0.0
1057532-67-LE25;2;Ropa, maletas y productos de aseo personal / Ropa / Uniformes;53102702;Uniformes varios;Pantalón cargo Color Gris;Unidad;152.0;76.051.595-7;FERNANDO PATRICIO IRIGOIN BIDEGAIN EMPRESA INDIVIDUAL DE RESPONSABILID;20500.0;152.0
1057532-67-LE25;3;Ropa, maletas y productos de aseo personal / Ropa / Uniformes;53102702;Uniformes varios;Pantalón de Cocina Color Blanco;Unidad;51.0;;;0.0;0.0
1057532-75-LP25;1;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos informáticos y accesorios / Computadores;43211507;Computadores de escritorio;ARRIENDO DE 159 EQUIPOS COMPUTACIONALES AIO CON PLATAFORMA DE SEGUIMIENTO DE REQUERIMIENTOS PARA ESTABLECIMIENTOS DEPENDIENTES DE LA DIRECCIÓN DE SERVICIO DE SALUD OSORNO, POR 36 MESES;Unidad;159.0;;;0.0;0.0
