CodigoLicitacion;Correlativo;Categoria;CodigoProducto;NombreProducto;DescripcionItem;UnidadMedida;Cantidad;RutGanador;NombreGanador;MontoUnitarioGanador;CantidadAdjudicada
1057922-17-LP25;1;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Artículos para transporte de paciente;42192207;Camillas de paciente o accesorios de camilla;Camilla Altura Regulable;Unidad;2.0;76.116.604-2;BLUEMEDICAL SPA;2500000.0;2.0
1057922-17-LP25;2;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Artículos para transporte de paciente;42192207;Camillas de paciente o accesorios de camilla;Camilla Examen;Unidad;31.0;76.116.604-2;BLUEMEDICAL SPA;895980.0;31.0
1057922-17-LP25;3;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Artículos para transporte de paciente;42192207;Camillas de paciente o accesorios de camilla;Camilla Ginecológica;Unidad;3.0;;;0.0;0.0
1057922-17-LP25;4;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Artículos para transporte de paciente;42192207;Camillas de paciente o accesorios de camilla;Camilla Reanimación;Unidad;1.0;;;0.0;0.0
1057922-17-LP25;5;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Transporte de equipo médico y traslado de productos;42192404;Carros médicos o accesorios;Carro De Procedimientos;Unidad;3.0;76.116.604-2;BLUEMEDICAL SPA;1920000.0;3.0
1057922-17-LP25;6;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Transporte de equipo médico y traslado de productos;42192404;Carros médicos o accesorios;Carro Ropa Limpia;Unidad;1.0;76.116.604-2;BLUEMEDICAL SPA;1640000.0;1.0
1057922-17-LP25;7;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Asientos y taburetes clínicos y productos relacionados;42192102;Sillones reclinables de hospital o accesorios;Sillón Clínico;Unidad;9.0;92.999.000-5;IMPORTADORA Y DISTRIBUIDORA ARQUIMED LTDA;1790000.0;9.0
1057922-17-LP25;8;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Asientos y taburetes clínicos y productos relacionados;42192102;Sillones reclinables de hospital o accesorios;Sillón Podológico;Unidad;1.0;78.322.700-2;COMERCIALIZADORA DOCTOR S CHOICE SPA;4633505.0;1.0
1057922-17-LP25;9;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Artículos para transporte de paciente;42192207;Camillas de paciente o accesorios de camilla;Camilla Transporte;Unidad;5.0;78.874.470-6;STRYKER CORPORATION CHILE Y COMPANIA LIMITADA;3500000.0;5.0
1057922-17-LP25;10;Equipamiento y suministros médicos / Equipamiento para instalaciones médicas / Transporte de equipo médico y traslado de productos;42192404;Carros médicos o accesorios;Carro De Paro Equipado;Unidad;1.0;76.116.604-2;BLUEMEDICAL SPA;11600000.0;1.0
