CodigoLicitacion;Correlativo;Categoria;CodigoProducto;NombreProducto;DescripcionItem;UnidadMedida;Cantidad;RutGanador;NombreGanador;MontoUnitarioGanador;CantidadAdjudicada
1057532-64-LP25;1;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Evaluaciones de salud individuales;85122201;Exámenes médicos;INSUMOS PARA EXAMENES DE LABORATORIO TIPO POC, CON ARRIENDO DE EQUIPOS (HOSPITAL RIO NEGRO, HOSPITAL PUERTO OCTAY, HOSPITAL PU MULEN QUILACAHUIN, HOSPITAL FUKA SRUKA LAWENCHE KUNKO MAPU MO);Unidad;1.0;76.036.479-7;ALATHEIA SPA;42900000.0;1.0
1057532-64-LP25;2;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Evaluaciones de salud individuales;85122201;Exámenes médicos;INSUMOS PARA ANALISIS DE GASES SANGUINEOS, CON ARRIENDO DE EQUIPO (HOSPITAL DE PURRANQUE);Unidad;1.0;79.568.850-1;VALTEK S.A.;1.0;1.0
1077241-10-LE25;1;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151644;Apoyos dentales para la boca;ALAMBRE PARA CONTENCIÓN TRENZADO BOND-A- BRAID;Tubo;20.0;78.378.160-3;COMERCIAL EXPRESS DENT SPA;52886.0;20.0
1077241-10-LE25;2;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Equipo y suministros ortodónticos y prostodónticos;42152713;Alicates ortodónticos;ALICATE UNIVERSAL WEINGART COD 003-120-00 –;Unidad;2.0;;;0.0;0.0
1077241-10-LE25;3;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Equipo y suministros ortodónticos y prostodónticos;42152713;Alicates ortodónticos;ALICATE DE CORTE DISTAL COD 003-700-00;Unidad;7.0;;;0.0;0.0
1077241-10-LE25;4;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Equipo y suministros ortodónticos y prostodónticos;42152713;Alicates ortodónticos;ALICATE DE CORTE LIGADURAS MINI COD 014-151-00;Unidad;7.0;;;0.0;0.0
1077241-10-LE25;5;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Equipo y suministros ortodónticos y prostodónticos;42152713;Alicates ortodónticos;ALICATE ANGLE/TWEED PARA DOBLAR ARCOS COD 003-442-00 -;Unidad;4.0;;;0.0;0.0
1077241-10-LE25;6;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Equipo y suministros ortodónticos y prostodónticos;42152713;Alicates ortodónticos;ALICATE PARA QUITAR BRACKTES COD 004-346-00- ACERO INOXIDABLE;Unidad;3.0;;;0.0;0.0
1077241-10-LE25;7;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Equipo y suministros ortodónticos y prostodónticos;42152713;Alicates ortodónticos;ALICATE 3 PUNTAS REF 003-200-00 - ACERO INOXIDABLE;Unidad;2.0;;;0.0;0.0
1077241-10-LE25;8;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151644;Apoyos dentales para la boca;RETRACTOR DE LABIOS Y MEJILLA PLÁSTICO TRANSPARENTE PARA CEMENTACIÓN DE BRACKET;Unidad;6.0;;;0.0;0.0
1077241-10-LE25;9;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151640;Pinzas dentales;KIT POSICIONADOR DE BRACKTES  2-2.5/3-3.5/4-4.5/5-5.5;Kit;2.0;;;0.0;0.0
1077241-10-LE25;10;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151620;Limas o raspadores dentales;FRESA DE CARBIDE PARA CONTRA ÁNGULO  REDONDA  016;Unidad;25.0;;;0.0;0.0
1077241-10-LE25;11;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151620;Limas o raspadores dentales;FRESA DE CARBIDE PARA CONTRA ÁNGULO  REDONDA  018;Unidad;25.0;;;0.0;0.0
1077241-10-LE25;12;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151620;Limas o raspadores dentales;FRESA DE CARBIDE PARA CONTRA ÁNGULO  REDONDA  021;Unidad;25.0;;;0.0;0.0
1077241-10-LE25;13;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151620;Limas o raspadores dentales;FRESA DE CARBIDE PARA CONTRA ÁNGULO  REDONDA  023;Unidad;25.0;;;0.0;0.0
1077241-10-LE25;14;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Equipo y suministros ortodónticos y prostodónticos;42152713;Alicates ortodónticos;ALICATE UNIVERSAL PARA DOBLAR Y CORTAR ALAMBRES;Unidad;1.0;;;0.0;0.0
1077241-10-LE25;15;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Equipo y suministros ortodónticos y prostodónticos;42152713;Alicates ortodónticos;ALICATE P/QUITAR BANDAS OLIVER-JONES;Unidad;3.0;;;0.0;0.0
1077241-10-LE25;16;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Equipo y suministros ortodónticos y prostodónticos;42152703;Pernos o puntales dentales o suministros relacionados;MICRO TORNILLO ACERO IGUAL O SIMILAR A BIORAY 17x2.0 MM;Unidad;50.0;;;0.0;0.0
1077241-6-LE25;1;Equipos, suministros y accesorios deportivos y recreativos / Equipos para entrenamiento físico / Equipo de entrenamiento para aeróbic;49201503;Bicicletas estáticas;Bicicleta Estática;Unidad;2.0;50.196.460-3;QUIMICOLOR LTDA;1690000.0;2.0
1077241-6-LE25;2;Equipamiento y suministros médicos / Productos de rehabilitación, terapia ocupacional y física / Equipo y dispositivos para ejercicios de rehabilitación;42251613;Aparatos de cinta rodante para ejercicios de rehabilitación o terapia;Trotadora;Unidad;1.0;;;0.0;0.0
