CodigoCompraAgil;RutProveedor;RazonSocial;EsEMT;EstadoCotizacionID;EstadoCotizacionGlosa;ProveedorSeleccionado;MotivoSeleccion;CriterioSeleccion;FechaCreacion;FechaVigencia;ValorNeto;TotalImpuesto;MontoDespacho;MontoTotal;NombreImpuesto;PorcentajeImpuesto;DescripcionCotizacion;JustificacionInadmisibilidad;TotalProductosCotizados
1057532-15-COT25;77.852.771-5;SOCIEDAD GRAFICA SPA;1;;;;;;;;;;;;;;Flete incluido Entrega 3 dias Despacho por Bluex;;1
1057532-15-COT25;76.929.366-3;IMPRESOS SAIVLUK SPA;1;;;;;;;;;;;;;;ENTREGA EN TRES DIAS HABILES, UNA VEZ RECIBIDO V°B°, ENVIO A SUS DEPENDENCIAS SIN COSTO ALGUNO, SERVICIO DE POST VENTA. SE ADJUNTA COTIZACION FORMAL;;1
1057532-15-COT25;88.248.700-8;relieves finos c y p limitada;1;;;;;;;;;;;;;;Detalle en cotizacion adjunta. Plazo de entrega 5 días corridos una vez aprobado muestra en PDF. Se incluye diseño en valor final. Despacho incluido en valor final a dirección indicada por cliente. Producto garantizado;;1
1057532-15-COT25;77.448.127-3;TRANSPORTES CHILE SPA;1;;;;;;;;;;;;;;Adjunto propuesta técnica y económica, revisar adjunto y condiciones. Nuestra oferta es por la totalidad de items ofertados. Consulte stock antes de enviar O.C, al email: ventas@transporteschilespa.cl o al +56 9 6233 7667 o www.transporteschilespa.cl;;1
1057532-15-COT25;76.805.650-1;MANUEL OGANDO PRODUCCIONES PUBLICITARIAS LTDA;1;;;;;;;;;;;;;;50 Recetario Médico SAFU;;1
1057532-11-COT25;76.506.381-7;IMPORTCHILE.COM SPA;1;;;;;;;;;;;;;;SE COTIZA SOLO LA FERULA INCLUYE MANTA TERMICA, CUIDADO CON EMPRESAS OFRECIENDO COPIAS CHINAS Y FALSIFICACIONES NO CERTIFICADAS GENERALMENTE FABRICADAS DE 2 PARTES, LAS CUALES PUEDEN CAUSAR DAÑO A LOS PACIENTES Y SEPARARSE EN TRASLADOS, REVISAR ANEXOS;;2
1057532-11-COT25;76.056.023-5;PROYECTOS PROEMER S.A.;1;;;;;;;;;;;;;;Productos para entrega Inmediata. Ferula Pelvica SAM SPLINT - ORIGINAL ( NO COPIAS SIN CERTIFICACION). Atte. PROEMER S.A;;2
1057532-11-COT25;77.663.547-2;LOGOS KARY SPA;1;;;;;;;;;;;;;;Se han considerado todos los requisitos. Para más información, contáctenos a Kquezadavaleria@gmail.com;;2
1057532-11-COT25;77.660.833-5;INGENIERÍA , SERVICIOS Y ABASTECIMIENTO ISEVEN LIMITADA;1;;;;;;;;;;;;;;Se incluye todo lo requerido. Para consultas escribir a contacto@ISEVENCHILE.cl o al teléfono +56 22 927 27 95;;2
1057532-11-COT25;76.645.686-3;INPUT-MEDICAL SPA;1;;;;;;;;;;;;;;"Férula pélvica Americana Sling II 32"" a 50"", ver ficha técnica, linterna medica ADC con carcasa de aluminio ver ficha técnica adjunta, despacho hasta sus bodegas, entrega en 5 días.";;2
1057532-11-COT25;76.626.211-2;HELPI MEDICAL SPA;1;;;;;;;;;;;;;;FERULA PELVICA SAM SLING II EMERGENCIA-ORIGINAL-ENVIO EN 6 HORAS HABILES. LINTERNA DILATACION PUPILAR - 10 UND PARA ENVIO EN 6 HORAS HABILES, RESTO PARA ENVIO EN 20 DIAS HABILES.;;2
1057532-11-COT25;76.626.211-2;HELPI MEDICAL SPA;1;;;;;;;;;;;;;;FERULA PELVICA SAM SLING II EMERGENCIA-ORIGINAL-ENVIO EN 6 HORAS HABILES. LINTERNA DILATACION PUPILAR - 10 UND PARA ENVIO EN 6 HORAS HABILES, RESTO PARA ENVIO EN 20 DIAS HABILES.;;2
1057532-11-COT25;76.626.211-2;HELPI MEDICAL SPA;1;;;;;;;;;;;;;;FERULA PELVICA SAM SLING II EMERGENCIA-ORIGINAL-ENVIO EN 6 HORAS HABILES. LINTERNA DILATACION PUPILAR - 10 UND PARA ENVIO EN 6 HORAS HABILES, RESTO PARA ENVIO EN 20 DIAS HABILES.;;2
1057532-11-COT25;78.027.120-5;DISTRIBUIDORA DE PRODUCTOS DE LABORATORIO DIPROLAB LIMITADA;1;;;;;;;;;;;;;;ITEM1:FERULA PELVICA SAM SLING II EMERGENCIA ITEM2:LINTERNA DILATACION PUPILAR EXAMEN ADC II METALITE BLACK/CONTACTO: KAREN CRUZ FONO: 996394108 CHILECOMPRA@DIPROLAB.CL EMPRESA CON CERTIFICACION ISO 9001-13485//K;;2
