CodigoCompraAgil;RutProveedor;RazonSocial;EsEMT;EstadoCotizacionID;EstadoCotizacionGlosa;ProveedorSeleccionado;MotivoSeleccion;CriterioSeleccion;FechaCreacion;FechaVigencia;ValorNeto;TotalImpuesto;MontoDespacho;MontoTotal;NombreImpuesto;PorcentajeImpuesto;DescripcionCotizacion;JustificacionInadmisibilidad;TotalProductosCotizados
1057922-4-COT26;77.727.836-3;SERVICIO KAMIANA SPA;1;;;;;;;;;;;;;;Se anexan fichas técnicas de los productos solicitados, despacho gratuito de 3 a 5 días hábiles. RC;no cumple EETT obligatorias dispuestas en numeral 1.2,1.3,1.5,1.6,1.8,2.1,2.3;2
1057922-4-COT26;77.989.117-8;EVOLUCION SPA;1;;;;;;;;;;;;;;PLAZO DE ENTREGA 1 A 3 DIAS HABILES RUBEN ADASME 965845531 EMPRESAEVOLUCION.SPAGMAIL.COM;no cumple EETT obligatorias dispuestas en numeral 4.1;2
1057532-76-COT26;76.682.546-k;CENTAURO INVERSIONES SPA;1;;;;;;;;;;;;;;Pendrive Maxell USBPD 16GB 2.0 Negro Despacho: 3 dias habiles, sin cargo, Garantia: 12 meses;;1
1057532-76-COT26;77.714.157-0;COMERCIALIZADORA C & S SPA;1;;;;;;;;;;;;;;OFERTA COMERCIALIZADORA CYS - VÁLIDA POR 120 DÍAS ENTREGA DE 48 A 72HRS HÁBILES CONTACTO: JOSÉ CARES / jcares@comercializadoracys.cl / +56 9 5209 2955 - +56 9 7668 4804.;;1
1057532-76-COT26;77.151.258-5;SERVITECH CHILE SPA;1;;;;;;;;;;;;;;consultas al correo;;1
1057532-76-COT26;77.566.418-5;IMPRESOS P&V LIMITADA;1;;;;;;;;;;;;;;Taller propio. Staff de 15 personas para brindar un servicio de calidad. Empresa con sello de mujer, patente al día. Despacho incluido, fotos referenciales. Contacto Paulina Contreras. Cel 9-31411561 cotizaciones@impresospyv.cl www.impresospyv.cl;;1
1057532-76-COT26;77.045.691-6;MARKETING Y PUBLICIDAD IDEAMANIA LIMITADA;1;;;;;;;;;;;;;;3 a 4 días hábiles maqueta para aprobación Andrea@ideamania.cl +56 9 3310 8887 Andrea Navarro;;1
1057532-76-COT26;76.877.288-6;DISTRIBUIDORA DICOMERS SPA;1;;;;;;;;;;;;;;DISTRIBUIDORA DICOMERS SPA ESTIMA LA ENTREGA EN 1 a 7 DIAS HABILES, SEGUN DISPONIBILIDAD DE STOCK AL MOMENTO DE EMITIR O.C  CONTACTO VENDEDOR VICTOR MONSALVE, +56940773108, dicomersvms@gmail.com. CARLA CÁRCAMO, +56934950933, dicomersventasc@gmail.com;;1
1057532-75-COT26;76.888.386-6;SOCIEDAD DE INVERSIONES MULTIEXPRESS SPA;1;;;;;;;;;;;;;;SE COTIZAN  LOS PRODUCTOS SOLICITADOS, ENTREGA EN 4 DIAS, VALOR DE DESPACHO GRATIS, SE ADJUNTA COTIZACION CON FOTOS DE PRODUCTOS OFERTADOS, CONTAMOS CON SELLO MUJER;;2
1057532-75-COT26;77.915.176-K;SUBLINOVENA SPA;1;;;;;;;;;;;;;;PLAZO DE ENTREGA 1 DÍA HÁBIL DESDE LA EMISIÓN DE LA ORDEN DE COMPRA. DESPACHO INCLUIDO.;;2
1057532-73-COT26;77.337.544-5;SCM PHARMA SPA;1;;;;;;;;;;;;;;Se adjunta cotización detallada, Contacto F. 225104550, contacto@scmpharma.cl, Despacho sin costo, Envio 48 a 72 horas- monto mínimo de despacho $ 50.000.-  Cotización valida  por 15 días.;El producto o servicio ofertado no cumple con las especificaciones solicitadas.;2
1057532-73-COT26;78.045.809-7;SERVICIOS FARMACEUTICOS Y DE SALUD QAFARMA SPA;1;;;;;;;;;;;;;;Despacho en 48-72  horas, Oc  minima 150.000, despacho sin costo extra, contacto Qafarma.spa@gmail.com 								  Abigail Toloza 979071357;;2
1057532-67-COT26;76.790.324-3;SOLUCIONES INDUSTRIALES JULIO LAZO  E.I.R.L.;1;;;;;;;;;;;;;;Estimado Se adjunta archivo solicitado.  Envíos de 3 a 5 días hábiles aceptada la OC.  Número de contacto +56996301149 Julio Lazo (CL );El valor ofertado sobrepasa el monto máximo disponible para la compra.;1
1057532-67-COT26;77.863.564-K;WANDASIL SPA;1;;;;;;;;;;;;;;Estimados se adjunta cotización, se entrega dentro de plazo solicitado y sin costo por despacho. Pablo Burgos: 978564842;El valor ofertado sobrepasa el monto máximo disponible para la compra.;1
1057532-70-COT26;76.759.642-1;SOLUCIONES Y MONTAJES METALELECTRIC LIMITADA;1;;;;;;;;;;;;;;Se cotizan todos los productos solicitados.  Se entrega en 5 di´as. Garanti´a de 13 meses. Precio lo incluye todo. Consultar para coordinar: Cristian Sanchez 995797454 o Metalelectriclimitada@gmail.com. Se adjunta cotizacion con ficha tecnica.;El producto o servicio ofertado no cumple con las especificaciones solicitadas.;1
1057532-70-COT26;77.077.639-2;FERRETERÍA INDUSTRIAL EL MAESTRO A.R LIMITADA;1;;;;;;;;;;;;;;DESPACHO GRATUITO 05 DÍAS HÁBILES HASTA SUS DEPENDENCIAS, SE ADJUNTA COTIZACIÓN FORMAL Y ANEXO TECNICO. GARANTIA 12 MESES CONTACTO DIRECTO: MACARENA GODOY. - CORREO MGODOY@FERRETMAR.CL TELEFONO +56973304618;El producto o servicio ofertado no cumple con las especificaciones solicitadas.;1
1057532-70-COT26;96.556.940-5;PROVEEDORES INTEGRALES PRISA S A;0;;;;;;;;;;;;;;VER DETALLE ADJUNTO –   - PLAZO DE ENTREGA DE 2-3 DIAS HABILES;El producto o servicio ofertado no cumple con las especificaciones solicitadas.;1
1057532-70-COT26;77.077.639-2;FERRETERÍA INDUSTRIAL EL MAESTRO A.R LIMITADA;1;;;;;;;;;;;;;;DESPACHO GRATUITO 05 DÍAS HÁBILES HASTA SUS DEPENDENCIAS, SE ADJUNTA COTIZACIÓN FORMAL Y ANEXO TECNICO. GARANTIA 12 MESES CONTACTO DIRECTO: MACARENA GODOY. - CORREO MGODOY@FERRETMAR.CL TELEFONO +56973304618;La cotización corresponde a una empresa relacionada y no es la más económica.;1
