CodigoCompraAgil;RutProveedor;RazonSocial;EsEMT;EstadoCotizacionID;EstadoCotizacionGlosa;ProveedorSeleccionado;MotivoSeleccion;CriterioSeleccion;FechaCreacion;FechaVigencia;ValorNeto;TotalImpuesto;MontoDespacho;MontoTotal;NombreImpuesto;PorcentajeImpuesto;DescripcionCotizacion;JustificacionInadmisibilidad;TotalProductosCotizados
1057922-8-COT26;99.591.920-6;LEGNO S A;1;;;;;;;;;;;;;;Pallets Industrial Liso para Rack Color Negro. Cubierta Lisa. Carga dinámica de 1500 kg. Carga Estática de 3000 kg. Base de 3 apoyos paralelos. Material Polipropileno. Peso de 14 kg. Largo 120 cm. Ancho 80 cm. Alto 15 cm. Garantía de 6 meses.;;1
1057922-8-COT26;78.151.009-2;INVERSIONES SAPUNAR GONZALEZ SPA;1;;;;;;;;;;;;;;Entregamos dentro de 2 a 5 días hábiles ventas.gsinversiones@gmail.com Whatsapp: +569 6325 1105, no dude en llamarnos.;;1
1057922-6-COT26;76.710.414-6;EVENTAIL SPA;1;;;;;;;;;;;;;;Entrega entre 5  y 8 días hábiles una vez aceptada la orden de compra. Envío sin costo.;;1
1057922-6-COT26;77.710.483-7;COMERCIALIZADORA S & C SPA;1;;;;;;;;;;;;;;Comercializadora S&C - DESPACHO DE 48 A 72HRS HÁBILES CONTACTO: info.comercializadora.syc@gmail.com +569 8883 0891.;;1
1057922-5-COT26;76.307.901-5;COMERCIALIZADORA DE PRODUCTOS SUSTENTABLES LIMITADA;1;;;;;;;;;;;;;;Contenedor de 20 lts con pedal  marca ESTRA, Cont de 40 ls con pedal marca CM, Cont de 120 lts marca OTTO, Cont de 260 L marca ESe Plazo de entrega: 5 dias www.creatividadpositiva.cl;;1
1057922-5-COT26;78.112.857-0;FULL STOCK SPA;1;;;;;;;;;;;;;;SE COTIZÓ TODO LO SOLICITADO;;1
1057532-60-COT26;80.461.600-4;HESS Y BUSCHMANN SPA;1;;;;;;;;;;;;;;Se adjunta cotización formal según lo solicitado, plazo de entrega 5 días hábiles, no se cobra flete adicional, Contacto: Pablo Arriagada M, Fono: 56995308689, Distribucion@hessybuschmann.cl, Dirección: J.Mackenna 1070, Osorno;"Item de ""Elásticos"", no indica si son de colores, según lo solicitado en especificaciones.";2
1057532-60-COT26;77.071.344-7;COMERCIAL CON1CLICK SPA;1;;;;;;;;;;;;;;VALOR INCLUYE DESPACHO - SE ADJUNTA COTIZACIÓN Y ESPECIFICACIONES - cahumada@con1click.cl +56981803550;Item de Elásticos, no cumple con los gramajes de las bolsas de elásticos, según especificaciones.;2
1057532-60-COT26;76.877.288-6;DISTRIBUIDORA DICOMERS SPA;1;;;;;;;;;;;;;;DISTRIBUIDORA DICOMERS SPA ESTIMA LA ENTREGA EN 1 a 7 DIAS HABILES, SEGUN DISPONIBILIDAD DE STOCK AL MOMENTO DE EMITIR O.C  CONTACTO VENDEDOR VICTOR MONSALVE, +56940773108, dicomersvms@gmail.com. CARLA CÁRCAMO, +56934950933, dicomersventasc@gmail.com;Item de Elásticos, no cumple con los gramajes de las bolsas de elásticos, según especificaciones.;2
1057532-60-COT26;77.286.085-4;SOCIEDAD COMERCIAL NEOTECH SPA;1;;;;;;;;;;;;;;despacho en 5 días desde recepción y aceptación de OC;;2
1057532-60-COT26;78.034.026-6;COMERCIALIZADORA AUTANA SPA;1;;;;;;;;;;;;;;CT 1618 ENTREGA 5 DIAS HABILES DESPACHO GRATIS;;2
1057532-60-COT26;78.196.767-K;EMTINES SPA;1;;;;;;;;;;;;;;ENTREGA EN 1 DÍA HABIL Datos de contacto: Sebastián Recabal, +56946126284  , sebastian.recabalraposo@gmail.com;;2
1057532-60-COT26;78.333.189-6;MULTISERVICIOS & PROVISIONES SPA;1;;;;;;;;;;;;;;MULTISERVICIOS Y PROVISIONES SPA. ENTREGA DE 48 A 72HRS HÁBILES CONTACTO: multiserviciosyprovisionesspa@gmail.com , +569 8811 5802;;2
1057532-60-COT26;78.072.135-9;MANGOSHOP SPA;1;;;;;;;;;;;;;;DESPACHO GRATIS EN 7 DIAS  SERVICIO POST VENTA ESPECIALIZADA EN GARANTIA DE SATISFACCION.;;2
1057532-60-COT26;78.151.009-2;INVERSIONES SAPUNAR GONZALEZ SPA;1;;;;;;;;;;;;;;Entregamos dentro de 2 a 5 días hábiles ventas.gsinversiones@gmail.com Whatsapp: +569 6325 1105, no dude en llamarnos.;;2
1057532-60-COT26;77.714.157-0;COMERCIALIZADORA C & S SPA;1;;;;;;;;;;;;;;OFERTA COMERCIALIZADORA CYS - VÁLIDA POR 120 DÍAS ENTREGA DE 48 A 72HRS HÁBILES CONTACTO: JOSÉ CARES / jcares@comercializadoracys.cl / +56 9 5209 2955 - +56 9 7668 4804.;;2
1057532-60-COT26;78.158.096-1;IS INVERSIONES SPA;1;;;;;;;;;;;;;;Entrega 2-5 días hábiles ventas.is.inversiones@gmail.com Wsp: +569 6124 2542 Respondemos a la brevedad.;;2
1057532-60-COT26;78.327.118-4;NODO SUR INVERSIONES SPA;1;;;;;;;;;;;;;;Nodo Sur entrega 48 horas desde la aceptaciÃ³n de la O.C. Contactenos en: ventas.nodosurinversion@gmail.com +569 2935 1274.;;2
1057532-60-COT26;77.354.084-5;EQUIPOS MÉDICOS CHILE SPA;1;;;;;;;;;;;;;;Compra mínima de $100.000. Despacho incluido. Por favor revisar ficha técnica adjunta. DESPACHO 1-3 DIAS HABILES DUDAS O CONSULTAS AL +56 954105058 MARIA IGNACIA ESPINOZA m.espinoza@equiposmedicoschile.cl;;2
1057532-14-COT26;77.660.833-5;INGENIERÍA , SERVICIOS Y ABASTECIMIENTO ISEVEN LIMITADA;1;;;;;;;;;;;;;;Contáctanos al +56984874329 o al correo proyectos@isevenchile.cl;El producto o servicio ofertado no cumple con las especificaciones solicitadas.;3
1057532-14-COT26;78.035.734-7;LAS ARAUCARIAS SPA;1;;;;;;;;;;;;;;Cotizacion y detalle en adjunto Despacho incluido;;3
1057532-14-COT26;76.759.642-1;SOLUCIONES Y MONTAJES METALELECTRIC LIMITADA;1;;;;;;;;;;;;;;Se cotizan todos los productos solicitados.  Se entrega en 4 di´as. Garanti´a de 13 meses. Precio lo incluye todo. Consultar para coordinar: Cristian Sanchez 995797454 o Metalelectriclimitada@gmail.com. Se adjunta cotizacion con ficha tecnica.;;3
1057532-14-COT26;16.343.816-K;RICARDO ANDRÉS SALAMANCA ARIAS;1;;;;;;;;;;;;;;ADJUNTO COTIZACION  ENTREGA EN 4 DIAS, INCLUYE FLETE  RICARDO 930772437;;3
1057532-14-COT26;77.900.706-5;SOCIEDAD DE TRANSPORTES DON RAMO SPA;1;;;;;;;;;;;;;;Detalle en documento adjunto, plazo de entrega 5 días hábiles, despacho incluido en la oferta. Contacto Diana Gálvez 996382623 correo transportedonramo@outlook.com.;;3
1057532-14-COT26;78.026.692-9;PROVEPRO SPA;1;;;;;;;;;;;;;;-Productos en stock. -Despacho incluido. -3 días hábiles ( opción de priorizar).  -Revisar adjunto.  -Wsp+569 61985601. -Pprovepro@gmail.com.;;3
1057532-14-COT26;76.877.288-6;DISTRIBUIDORA DICOMERS SPA;1;;;;;;;;;;;;;;DISTRIBUIDORA DICOMERS SPA ESTIMA LA ENTREGA EN 1 a 7 DIAS HABILES, SEGUN DISPONIBILIDAD DE STOCK AL MOMENTO DE EMITIR O.C  CONTACTO VENDEDOR VICTOR MONSALVE, +56940773108, dicomersvms@gmail.com. CARLA CÁRCAMO, +56934950933, dicomersventasc@gmail.com;;3
1057532-61-COT26;89.752.800-2;DISTRIBUIDORA DE ARTICULOS MEDICOS PEREZ SPA;1;;;;;;;;;;;;;;SE OFERTA SEGUN COTIZACION ADJUNTA.ITEM CON VALOR $1NO LO COMERCIALIZAMOS.ENTREGA DENTRO DE 3 DIAS HABILES DESPUES DE RECIBIDA LA ORDEN DE COMPRA . SE ADJUNTA FICHA TECNICA. FLETE INCLUIDO.Teléfonos: 2-26731206 2-26717467 Contacto@distribuidoraperez.cl;No oferta el total de los insumos.;5
1057532-61-COT26;78.028.927-9;GLOBAL VENTAS Y SERVICIOS SPA;1;;;;;;;;;;;;;;Estimado, se adjunta cotización. Despacho COSTO $0 de 1 a 3 días hábiles desde la aceptación de la Orden de Compra. Francisca Cousiño, ventas2@global-ventas.com - 56 9 8299 2755;No oferta el total de los insumos.;5
1057532-61-COT26;76.592.047-7;BEREMA SPA;1;;;;;;;;;;;;;;Buenas tardes, adjunto presupuesto completo con despacho gratis de 3 a 6 días de despacho desde OC. Formato aceites esenciales de 5ml. Consultas al +56968340211 Arlette. Gracias.;;5
1057532-61-COT26;76.576.352-5;SINERGIA TRADE CHILE SPA;1;;;;;;;;;;;;;;Buen día, estimados. Adjunto cotización de los productos solicitados en su totalidad, el envío está incluido, cualquier duda puede contactarnos al +56 9 4003 9473 sinergia@cosmeticaval.cl Plazo de entrega 5 días hábiles ANTONIETTA RIVERA;;5
1057532-61-COT26;77.452.296-4;COMERCIALIZADORA MARLETH DEL CARMEN  RAMIREZ BERMUDEZ E.I.R.L.;1;;;;;;;;;;;;;;Aceites esenciales Botánicamente y Bioquímicamente definidos, 100% naturales y puros Despacho incluido, entrega en 13 días hábiles una vez enviada la orden de compra. Consultas a Marleth al teléfono +56959227032;;5
1057532-59-COT26;77.997.344-1;SPRG SPA;1;;;;;;;;;;;;;;DESPACHO SOBRE $150.000 ENTREGA EN 5 DIAS HABILES, FLETE INCLUIDO “Favor considerar la unidad de embalaje para cada una de las líneas ofertadas, la que deberá ser ajustada al momento de realizar la OC”Dauglas Alarcon dalarcon@sprg.cl Tel+5671840000;No oferta el total de los insumos.;14
1057532-59-COT26;77.337.544-5;SCM PHARMA SPA;1;;;;;;;;;;;;;;Se adjunta cotización detallada, Contacto F. 225104550, contacto@scmpharma.cl, Despacho sin costo, Envio 48 a 72 horas- monto mínimo de despacho $ 50.000.-  Cotización valida  por 15 días.  PRODUCTO OFERTADO A $1 EN PORTAL NO CUENTA CON STOCK DISPONIBLE;No oferta el total de los insumos.;14
1057532-59-COT26;89.752.800-2;DISTRIBUIDORA DE ARTICULOS MEDICOS PEREZ SPA;1;;;;;;;;;;;;;;SE OFERTA SEGUN COTIZACION ADJUNTA.ITEM CON VALOR $1NO LO COMERCIALIZAMOS.ENTREGA DENTRO DE 3 DIAS HABILES DESPUES DE RECIBIDA LA ORDEN DE COMPRA . SE ADJUNTA FICHA TECNICA. FLETE INCLUIDO.Teléfonos: 2-26731206 2-26717467 Contacto@distribuidoraperez.cl;No oferta el total de los insumos.;14
1057532-59-COT26;76.739.523-K;FARMANOSTICA SPA;1;;;;;;;;;;;;;;DESPACHO 7 DIAS HABILES UNA VEZ ACEPTADA LA OC, MARTA VIVANCO 910119166, MARTA.VIVANCO@FARMANOSTICA.CL SE COTIZA TODO LO SOLICITADO RESPETANDO CANTIDADES. TODOS LOS INSUMOS ESTAN POR SOBRE LOS 12 MESES PARA VENCIMIENTO.;;14
