CodigoCompraAgil;RutProveedor;RazonSocial;EsEMT;EstadoCotizacionID;EstadoCotizacionGlosa;ProveedorSeleccionado;MotivoSeleccion;CriterioSeleccion;FechaCreacion;FechaVigencia;ValorNeto;TotalImpuesto;MontoDespacho;MontoTotal;NombreImpuesto;PorcentajeImpuesto;DescripcionCotizacion;JustificacionInadmisibilidad;TotalProductosCotizados
1057532-16-COT26;77.997.344-1;SPRG SPA;1;;;;;;;;;;;;;;DESPACHO SOBRE $ $105.000 ENTREGA EN 5 DIAS HABILES, FLETE INCLUIDO “Favor considerar la unidad de embalaje para cada una de las líneas ofertadas, la que deberá ser ajustada al momento de realizar la Orden de Compra” FAVOR VER FICHA TECNICA ADJUNTA.;No cotiza todos los ítems solicitados;6
1057532-16-COT26;77.943.232-7;MIX VENTA SPA;1;;;;;;;;;;;;;;Traslado sin costo. 5 días de entrega. Se adjunta cotización. Para consultas 942462264, 998218926, claudia.bravo@mixventa.cl, ventas@mixventa.cl;El plazo de entrega es mayor que el solicitado.;6
1057532-16-COT26;78.072.135-9;MANGOSHOP SPA;1;;;;;;;;;;;;;;despacho gratis en 3 dias. servicio post venta. vida util de los productos 24 meses;De acuerdo al referente hay items que no se solicitaran;6
1057532-16-COT26;78.027.120-5;DISTRIBUIDORA DE PRODUCTOS DE LABORATORIO DIPROLAB LIMITADA;1;;;;;;;;;;;;;;ITEM1 WK-117 340CC WINKLER/ ITEM2 70 DIPROLAB 1LT/ ITEM3 99% DIPROLAB 1LT/ ITEM4 VIRUTEX X 90UN/ ITEM5 SIMONDS X 60UN/ ITEM6 POETT 900ML/ CONTACTO KAREN CRUZ +56-996394108 CHILECOMPRA@DIPROLAB.CL - EMPRESA CON CERTIFICACION ISO 9001–13485- MV;El plazo de entrega es mayor que el solicitado.;6
1057532-16-COT26;77.337.544-5;SCM PHARMA SPA;1;;;;;;;;;;;;;;Se adjunta cotización detallada, Contacto F. 225104550, contacto@scmpharma.cl, Despacho sin costo, Envio 48 a 72 horas- monto mínimo de despacho $ 50.000.-  Cotización valida  por 15 días.;No cotiza todos los ítems solicitados;6
1057532-16-COT26;77.025.316-0;INGENIERIA, SOPORTE Y CADENA DE SUMINISTRO SPA;1;;;;;;;;;;;;;;Se adjunta cotización formal y ficha técnica. Despacho sin costo MONTO MINIMO DE FACTURACION $100.000 ENTREGA EN 3 DIAS, Stock disponible. Atte ENSUS CHILE SPA evelyn.araya@ensus.cl +56 9 7539 664  VENCIMIENTO SUPERIOR A 12 MESES;De acuerdo al referente hay items que no se solicitaran;6
1057532-16-COT26;76.209.015-5;SOCIEDAD INMOBILIARIA Y PRESTADORA DE SERVICIOS MEDICOS VIVIRSALUD LIM;1;;;;;;;;;;;;;;SE COTIZA TOTALIDAD DE INSUMOS. FICHAS TÉCNICAS EN ADJUNTO. DESPACHO EN 3 DÍAS HÁBILES ACEPTADA LA OC. VENCIMIENT0>12M.FLETE INCLUIDO. COTIZA EU. DANIELA HERRERA, FONO +56942444904, MAIL DHERRERA@VIVIRSALUD.CL. CASA MATRIZ 422380900.;De acuerdo al referente hay items que no se solicitaran;6
1057532-4-COT26;77.354.084-5;EQUIPOS MÉDICOS CHILE SPA;1;;;;;;;;;;;;;;OFERTA COMPLETA, FAVOR REVISAR ADJUNTOS, DESPACHO DE 2 A 5 DIAS HABILES COSTO 0 A TODO CHILE, DESPACHO MIN. $100.000 NETOS. CONTACTO FONO +569 8454 6545 MAIL: j.sepulveda@equiposmedicoschile.cl;El valor ofertado sobrepasa el monto máximo disponible para la compra.;15
1057532-4-COT26;77.461.733-7;IMPORTADORA Y COMERCIALIZADORA JMMB SPA;1;;;;;;;;;;;;;;Estimados, material cotizado incluye despacho y entrega en dirección registrada. Plazo de entrega 4 días. Sucursal ARTEOFFICE. Se incluye imagen real de productos ofrecidos. Contacto Adriana Arias 9 37622417 ventas@arteoffice.cl.;El valor ofertado sobrepasa el monto máximo disponible para la compra.;15
1057532-4-COT26;78.121.571-6;IFR SPA;1;;;;;;;;;;;;;;Tiempo de entrega 2 a 5 días hábiles. ifrspa.ventas@gmail.com;El valor ofertado sobrepasa el monto máximo disponible para la compra.;15
