CodigoCompraAgil;RutProveedor;CodigoProducto;NombreProducto;Descripcion;Cantidad;PrecioUnitario;MontoTotalProducto
1057532-6-COT26;77.660.833-5;26141703;Sistemas de dosimetría de patrón secundario;DOSIMETROS  10 DOSIMETROS PARA TRABAJADORES  1 DOSIMETRO DE CONTROL  1 DOSIMETRO AMBIENTAL DE ACUERDO A TERMINOS DE REFERENCIAS ADJUNTOS;12;51904;622848
1057532-2-COT26;9.514.841-7;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;16759;83795
1057532-2-COT26;77.144.559-4;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;36990;184950
1057532-2-COT26;9.514.841-7;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;46900;234500
1057532-2-COT26;76.156.939-2;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;58750;293750
1057532-2-COT26;78.201.660-1;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;59990;299950
1057532-2-COT26;76.848.661-1;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;63260;316300
1057532-2-COT26;13.619.069-5;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;65042;325210
1057532-2-COT26;78.133.122-8;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;68908;344540
1057532-2-COT26;77.617.713-K;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;69000;345000
1057532-2-COT26;76.435.223-8;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;69000;345000
