CodigoCompraAgil;RutProveedor;CodigoProducto;NombreProducto;Descripcion;Cantidad;PrecioUnitario;MontoTotalProducto
1057922-8-COT26;99.591.920-6;24101615;Rampas de carga;TARIMA PLASTICA 120X80 CM DE ACUERDO ESPECIFICACIONES TECNICAS ADJUNTAS;2;89900;179800
1057922-8-COT26;78.151.009-2;24101615;Rampas de carga;TARIMA PLASTICA 120X80 CM DE ACUERDO ESPECIFICACIONES TECNICAS ADJUNTAS;2;259033;518066
1057922-6-COT26;76.710.414-6;56111906;Estantes, cajones o armarios industriales;SET LOCKERS SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;1;1469930;1469930
1057922-6-COT26;77.710.483-7;56111906;Estantes, cajones o armarios industriales;SET LOCKERS SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;1;1928571;1928571
1057922-5-COT26;76.307.901-5;24112110;Contenedores intermedios a granel;SET DE CONTENEDORES DE ACUERDO A ESPECIFICACIONES TECNICAS ADJUNTAS;1;1894000;1894000
1057922-5-COT26;78.112.857-0;24112110;Contenedores intermedios a granel;SET DE CONTENEDORES DE ACUERDO A ESPECIFICACIONES TECNICAS ADJUNTAS;1;1865000;1865000
1057532-60-COT26;80.461.600-4;24141511;Amarres de carga;Amarras plásticas o Amarras cable de 250 mm x 4.8 mm.;20000;18;360000
1057532-60-COT26;80.461.600-4;44111604;Envolturas de monedas o fajas para billetes;Bolsa de elásticos ligas. Diferentes colores, segun especificaciones adjuntas.;300;2120;636000
1057532-60-COT26;77.071.344-7;24141511;Amarres de carga;Amarras plásticas o Amarras cable de 250 mm x 4.8 mm.;20000;33;660000
1057532-60-COT26;77.071.344-7;44111604;Envolturas de monedas o fajas para billetes;Bolsa de elásticos ligas. Diferentes colores, segun especificaciones adjuntas.;300;1261;378300
1057532-60-COT26;76.877.288-6;24141511;Amarres de carga;Amarras plásticas o Amarras cable de 250 mm x 4.8 mm.;20000;44;880000
1057532-60-COT26;76.877.288-6;44111604;Envolturas de monedas o fajas para billetes;Bolsa de elásticos ligas. Diferentes colores, segun especificaciones adjuntas.;300;1820;546000
1057532-60-COT26;77.286.085-4;24141511;Amarres de carga;Amarras plásticas o Amarras cable de 250 mm x 4.8 mm.;20000;23;460000
1057532-60-COT26;77.286.085-4;44111604;Envolturas de monedas o fajas para billetes;Bolsa de elásticos ligas. Diferentes colores, segun especificaciones adjuntas.;300;3509;1052700
1057532-60-COT26;78.034.026-6;24141511;Amarres de carga;Amarras plásticas o Amarras cable de 250 mm x 4.8 mm.;20000;35;700000
1057532-60-COT26;78.034.026-6;44111604;Envolturas de monedas o fajas para billetes;Bolsa de elásticos ligas. Diferentes colores, segun especificaciones adjuntas.;300;2900;870000
1057532-60-COT26;78.196.767-K;24141511;Amarres de carga;Amarras plásticas o Amarras cable de 250 mm x 4.8 mm.;20000;80;1600000
1057532-60-COT26;78.196.767-K;44111604;Envolturas de monedas o fajas para billetes;Bolsa de elásticos ligas. Diferentes colores, segun especificaciones adjuntas.;300;200;60000
1057532-60-COT26;78.333.189-6;24141511;Amarres de carga;Amarras plásticas o Amarras cable de 250 mm x 4.8 mm.;20000;87;1740000
