CodigoCompraAgil;RutProveedor;RazonSocial;EsEMT;EstadoCotizacionID;EstadoCotizacionGlosa;ProveedorSeleccionado;MotivoSeleccion;CriterioSeleccion;FechaCreacion;FechaVigencia;ValorNeto;TotalImpuesto;MontoDespacho;MontoTotal;NombreImpuesto;PorcentajeImpuesto;DescripcionCotizacion;JustificacionInadmisibilidad;TotalProductosCotizados
1077241-7-COT25;81.706.600-3;DONNEBAUM S A;1;;;;;;;;;;;;;;MANUAL PARA CUIDADORAS(ES) DE PERSONAS EN SITUACIÓN DE DEPENDENCIA SEVERA. Adjuntamos cotización formal y muestra de trabajos similares.;;1
1077241-7-COT25;77.660.833-5;INGENIERÍA , SERVICIOS Y ABASTECIMIENTO ISEVEN LIMITADA;1;;;;;;;;;;;;;;Se incluye todo lo requerido. Para consultas escribir a contacto@ISEVENCHILE.cl o al teléfono +56 22 927 27 95;;1
1077241-7-COT25;77.949.976-6;KORBUX INGENIERÍA, INSTALACIONES, SUMINISTROS E INSUMOS LIMITADA;1;;;;;;;;;;;;;;Hemos asegurado la inclusión de todos los elementos necesarios. Si tienes dudas, contáctanos en sotogustavoa@yahoo.com;;1
1077241-7-COT25;77.069.739-5;ECOPRINTING SPA;1;;;;;;;;;;;;;;SE ADJUNTA COTIZACION DETALLADA;;1
1077241-7-COT25;78.076.084-2;FEYSER ETIQUETAS SPA;1;;;;;;;;;;;;;;Se adjunta cotización y FICHA TECNICA , más CERTIFICADO DE HABILIDAD REGISTRO DE PROVEEDORES. Datos Contacto: CATHERINE CORDERO B. TEL: 9 57083546 -  229271917 – ccordero@feyser.cl;;1
1077241-7-COT25;6.060.811-3;ÁLVARO HUGO MIZGIER HOCHSCHILD;1;;;;;;;;;;;;;;300 Manuales impresos 4 colores según bases, entrega 10 días, cel.,99 3505859;;1
1077241-7-COT25;96.550.080-4;IMPRESOS EFEMEVE S A;1;;;;;;;;;;;;;;INCLUYE DESPACHO  SE ADJUNTA ANEXO;;1
1077241-6-COT25;77.070.635-1;CLINICON SPA;1;;;;;;;;;;;;;;Se incluye flete, plazo de entrega 3 días hábiles una vez aceptada la OC. Se adjunta cotización, ficha técnica, políticas de garantía y certificados del producto. contacto Kevin Fernández correo: kevin.fernandez@clinicon.cl fono 228839480 (9406);;1
1077241-6-COT25;76.848.661-1;DISTRIBUIDORA BRISSA LIMITADA;1;;;;;;;;;;;;;;PRODUCTOS ENTREGADOS EN DIRECCION INDICADA, SIN COSTO Y EN EL PLAZO DE 2 DÍAS HÁBILES. Contacto: ventas10@brissa.cl | +56 9 9414 7258;;1
1077241-6-COT25;77.878.389-4;INSUMOS MÉDICOS HECTOR BUSTOS ECHEVERRIA E.I.R.L.;1;;;;;;;;;;;;;;Se despacha totalmente gratis;;1
1077241-6-COT25;76.512.686-k;IMPORTADORA Y DISTRIBUIDORA DELTAMED LIMITADA;1;;;;;;;;;;;;;;IMPORTADORA Y DISTRIBUIDORA DELTAMED, DESPACHO INCLUIDO. STOCK DISPONIBLE. ENTREGA 3 a 5 DIAS CON ORDEN DE COMPRA.  HORTEGA@DELTAMED.CL 9 74771201;;1
1077241-6-COT25;77.660.833-5;INGENIERÍA , SERVICIOS Y ABASTECIMIENTO ISEVEN LIMITADA;1;;;;;;;;;;;;;;Se incluye todo lo requerido. Para consultas escribir a contacto@ISEVENCHILE.cl o al teléfono +56 22 927 27 95;;1
1077241-6-COT25;76.877.288-6;DISTRIBUIDORA DICOMERS SPA;1;;;;;;;;;;;;;;DISTRIBUIDORA DICOMERS SPA ESTIMA LA ENTREGA EN 1 a 5  DIAS HABILES, SEGUN DISPONIBILIDAD DE STOCK AL MOMENTO DE EMITIR O.C  CONTACTO VENDEDOR VICTOR MONSALVE, +56940773108, dicomersvms@gmail.com. CARLA CÁRCAMO, +56934950933, dicomersventasc@gmail.com;;1
1077241-6-COT25;77.359.651-4;SOCIEDAD IMPORTADORA Y COMERCIALIZADORA MEBAC LIMITADA;1;;;;;;;;;;;;;;Despacho entre 3 a 5 días hábiles, flete incluido, certificado de garantía adjunto.  Telf.: +56-937790373 Correo: administracion@mebac.cl;;1
1077241-6-COT25;77.765.630-9;COMERCIAL Y DISTRIBUIDORA ORTOPEDIC SPA;1;;;;;;;;;;;;;;CONTAMOS CON STOCK , ENTREGA EN 3  DIAS HABILES, VALOR INCLUYE DESPACHO  Contactar con Juan Miranda: jmiranda@ortopedic.cl +56959251560, Kinesiólogo y ejecutivo comercial.(INCLUYE ARMADO);;1
